,0,1,2,3
0,0.0,0.0,0.0,0.0
1,2.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0
3,5.0,0.0,0.0,0.0
4,12.0,5.0,0.0,0.0
5,18.0,7.0,1.0,0.0
6,34.0,11.0,0.0,0.0
7,25.0,7.0,1.0,0.0
8,30.0,9.0,1.0,0.0
9,30.0,5.0,0.0,0.0
10,27.0,6.0,0.0,0.0
11,39.0,8.0,2.0,0.0
12,52.0,11.0,0.0,0.0
13,38.0,9.0,1.0,0.0
14,39.0,10.0,1.0,0.0
15,35.0,11.0,2.0,0.0
16,65.0,18.0,2.0,0.0
17,43.0,16.0,3.0,0.0
18,46.0,17.0,3.0,0.0
19,60.0,30.0,6.0,0.0
20,44.0,15.0,2.0,0.0
21,52.0,18.0,3.0,0.0
22,48.0,22.0,2.0,0.0
23,48.0,17.0,4.0,0.0
24,52.0,16.0,3.0,0.0
25,57.0,24.0,3.0,2.0
26,63.0,29.0,4.0,0.0
27,67.0,23.0,4.0,0.0
28,58.0,24.0,5.0,0.0
29,53.0,19.0,3.0,1.0
30,72.0,30.0,5.0,0.0
31,57.0,25.0,5.0,1.0
32,65.0,24.0,7.0,0.0
33,72.0,26.0,4.0,1.0
34,55.0,23.0,4.0,0.0
35,63.0,27.0,9.0,0.0
36,57.0,25.0,4.0,2.0
37,61.0,21.0,5.0,1.0
38,71.0,32.0,5.0,1.0
39,73.0,32.0,5.0,2.0
40,72.0,22.0,4.0,0.0
41,62.0,27.0,10.0,3.0
42,64.0,24.0,6.0,1.0
43,72.0,31.0,9.0,0.0
44,76.0,33.0,7.0,3.0
45,60.0,28.0,5.0,0.0
46,79.0,38.0,9.0,3.0
47,52.0,18.0,7.0,0.0
48,60.0,19.0,5.0,1.0
49,67.0,36.0,5.0,2.0
50,69.0,36.0,12.0,2.0
51,73.0,31.0,4.0,1.0
52,58.0,18.0,4.0,0.0
53,69.0,33.0,7.0,2.0
54,66.0,33.0,11.0,3.0
55,61.0,21.0,6.0,1.0
56,57.0,19.0,3.0,2.0
57,75.0,30.0,7.0,1.0
58,62.0,24.0,3.0,1.0
59,57.0,20.0,4.0,1.0
60,54.0,18.0,7.0,1.0
61,48.0,16.0,1.0,0.0
62,47.0,19.0,7.0,0.0
63,51.0,16.0,3.0,1.0
64,68.0,30.0,5.0,1.0
65,43.0,25.0,7.0,2.0
66,67.0,30.0,9.0,3.0
67,60.0,29.0,7.0,4.0
68,65.0,21.0,6.0,2.0
69,72.0,29.0,4.0,0.0
70,64.0,21.0,3.0,0.0
71,59.0,32.0,6.0,0.0
72,68.0,25.0,3.0,0.0
73,73.0,25.0,10.0,3.0
74,56.0,14.0,1.0,0.0
75,64.0,25.0,9.0,3.0
76,61.0,28.0,4.0,1.0
77,49.0,19.0,7.0,1.0
78,59.0,30.0,7.0,3.0
79,53.0,26.0,5.0,1.0
80,65.0,27.0,8.0,1.0
81,68.0,29.0,9.0,5.0
82,78.0,35.0,10.0,0.0
83,57.0,27.0,9.0,2.0
84,51.0,21.0,6.0,1.0
85,70.0,30.0,9.0,1.0
86,70.0,31.0,14.0,3.0
87,70.0,37.0,13.0,3.0
88,60.0,27.0,6.0,2.0
89,75.0,35.0,12.0,2.0
90,76.0,28.0,7.0,4.0
91,61.0,24.0,9.0,3.0
92,73.0,31.0,7.0,3.0
93,65.0,24.0,3.0,0.0
94,69.0,37.0,8.0,0.0
95,53.0,19.0,6.0,0.0
96,52.0,22.0,9.0,0.0
97,57.0,28.0,9.0,3.0
98,56.0,31.0,10.0,2.0
99,47.0,21.0,7.0,2.0
